文件1,文件2,相似度
sub003,sub106,0.7224
sub003,sub108,0.6255
sub003,sub109,0.7075
sub003,sub110,0.4773
sub003,sub111,0.5494
sub003,sub112,0.5984
sub003,sub113,0.5274
sub003,sub114,0.6157
sub003,sub115,0.6639
sub003,sub117,0.5718
sub003,sub119,0.5974
sub003,sub120,0.6193
sub003,sub121,0.6693
sub003,sub122,0.4593
sub003,sub123,0.5121
sub003,sub124,0.6423
sub003,sub125,0.7472
sub003,sub126,0.5916
sub003,sub127,0.5041
sub003,sub128,0.6557
sub003,sub129,0.5355
sub003,sub130,0.6352
sub003,sub131,0.6496
sub003,sub132,0.6398
sub003,sub133,0.5273
sub003,sub134,0.6578
sub003,sub135,0.5434
sub003,sub136,0.6936
sub003,sub137,0.4299
sub003,sub138,0.5181
sub003,sub139,0.5341
sub003,sub140,0.7210
sub003,sub141,0.7331
sub003,sub142,0.7076
sub003,sub143,0.5798
sub003,sub144,0.8066
sub003,sub145,0.6380
sub003,sub146,0.4556
sub003,sub147,0.5509
sub003,sub148,0.4957
sub003,sub149,0.5171
sub003,sub150,0.7542
sub003,sub151,0.4721
sub003,sub152,0.6601
sub003,sub153,0.4357
sub003,sub154,0.5799
sub003,sub155,0.4422
sub003,sub156,0.5391
sub003,sub157,0.4921
sub003,sub158,0.4768
sub003,sub159,0.5204
sub003,sub160,0.5716
sub003,sub161,0.7554
sub003,sub162,0.6450
sub003,sub163,0.5419
sub003,sub164,0.3436
sub003,sub165,0.4601
sub003,sub166,0.5652
sub003,sub167,0.4818
sub003,sub168,0.4993
sub003,sub169,0.5578
sub003,sub170,0.5531
sub003,sub171,0.6595
sub003,sub172,0.6926
sub003,sub173,0.7009
sub003,sub174,0.5227
sub004,sub005,0.4865
sub004,sub006,0.5027
sub004,sub007,0.4799
sub004,sub008,0.5547
sub004,sub009,0.4723
sub004,sub010,0.3898
sub004,sub011,0.4242
sub004,sub012,0.4738
sub004,sub013,0.4842
sub004,sub014,0.4701
sub004,sub015,0.3948
sub004,sub016,0.4301
sub004,sub017,0.3196
sub004,sub018,0.4660
sub004,sub019,0.4417
sub004,sub020,0.5280
sub004,sub021,0.4345
sub004,sub022,0.5798
sub004,sub023,0.5228
sub004,sub024,0.3705
sub004,sub025,0.5011
sub004,sub026,0.3488
sub004,sub027,0.5236
sub004,sub028,0.4186
sub004,sub029,0.4510
sub004,sub031,0.4004
sub004,sub032,0.4165
sub004,sub033,0.4356
sub004,sub034,0.4659
sub004,sub035,0.4057
sub004,sub036,0.4228
sub004,sub037,0.4033
sub004,sub038,0.4217
sub004,sub039,0.4531
sub004,sub040,0.4181
sub004,sub041,0.4120
sub004,sub042,0.5874
sub004,sub043,0.4923
sub004,sub044,0.5509
sub004,sub045,0.5532
sub004,sub048,0.3616
sub004,sub049,0.4848
sub004,sub050,0.4859
sub004,sub051,0.4533
sub004,sub052,0.4861
sub004,sub053,0.4153
sub004,sub054,0.4635
sub004,sub055,0.4813
sub004,sub056,0.5011
sub004,sub057,0.5000
sub004,sub058,0.3951
sub004,sub059,0.4941
sub004,sub060,0.3729
sub004,sub061,0.5629
sub004,sub062,0.5106
sub004,sub063,0.4796
sub004,sub064,0.4691
sub004,sub065,0.4641
sub004,sub066,0.4905
sub004,sub067,0.4859
sub004,sub068,0.4043
sub004,sub069,0.4811
sub004,sub070,0.5347
sub004,sub071,0.5500
sub004,sub072,0.5077
sub004,sub073,0.4050
sub004,sub074,0.4558
sub004,sub075,0.4411
sub004,sub076,0.5337
sub004,sub077,0.5859
sub004,sub078,0.3954
sub004,sub079,0.3468
sub004,sub080,0.4497
sub004,sub081,0.4429
sub004,sub082,0.4169
sub004,sub083,0.4924
sub004,sub084,0.4325
sub004,sub085,0.4631
sub004,sub086,0.4812
sub004,sub087,0.5111
sub004,sub088,0.4990
sub004,sub089,0.4561
sub004,sub090,0.4428
sub004,sub091,0.3931
sub004,sub092,0.4019
sub004,sub093,0.5851
sub004,sub094,0.5022
sub004,sub095,0.5404
sub004,sub096,0.4507
sub004,sub097,0.4502
sub004,sub098,0.4376
sub004,sub099,0.5147
sub004,sub100,0.4772
sub004,sub101,0.4342
sub004,sub102,0.4561
sub004,sub103,0.4876
sub004,sub104,0.4925
sub004,sub105,0.3986
sub004,sub106,0.5227
sub004,sub108,0.4277
sub004,sub109,0.4554
sub004,sub110,0.4623
sub004,sub111,0.4625
sub004,sub112,0.5040
sub004,sub113,0.4824
sub004,sub114,0.5062
sub004,sub115,0.4059
sub004,sub117,0.4487
sub004,sub119,0.4290
sub004,sub120,0.5225
sub004,sub121,0.4244
sub004,sub122,0.4161
sub004,sub123,0.4645
sub004,sub124,0.4976
sub004,sub125,0.4707
sub004,sub126,0.4828
sub004,sub127,0.4723
sub004,sub128,0.4602
sub004,sub129,0.3545
sub004,sub130,0.4281
sub004,sub131,0.4188
sub004,sub132,0.4221
sub004,sub133,0.4209
sub004,sub134,0.4450
sub004,sub135,0.5410
sub004,sub136,0.5105
sub004,sub137,0.3569
sub004,sub138,0.6073
sub004,sub139,0.5628
sub004,sub140,0.5083
sub004,sub141,0.5223
sub004,sub142,0.4570
